COURSE CURRICULUM,MODULES,AVERAGE DURATION,DURATION IN MINS
IT Support Communication,Introduction To Effective Communication Strategies,8 minutes,0:08:00
IT Support Communication,Who do Support Agents Communicate With?,3 minutes,0:03:00
IT Support Communication,Interpret the Customer's Message,3 minutes,0:03:00
IT Support Communication,Communicating at the Customer's Level of Expertise,4 minutes,0:04:00
IT Support Communication,Using ACCRUE Vocabulary when Responding to Messages,5 minutes,0:05:00
IT Support Communication,Challenging Customer Types,3 minutes,0:03:00
IT Support Communication,Satisfying a Challenging Customer,3 minutes,0:03:00
IT Support Communication,Develop A Rapport With Your Customers,5 minutes,0:05:00
IT Support Communication,Interpret And Paraphrase The Customer’s Message,5 minutes,0:05:00
IT Support Communication,Demonstrate Empathy Towards Your Customer,3 minutes,0:03:00
IT Support Communication,Defusing Anger,3 minutes,0:03:00
IT Support Communication,Differentiate between implicit vs. explicit customer messages,4 minutes,0:04:00
IT Support Communication,"Understand How To Respond Effectively Through Phone, Email, Chat, And Social Media",5 minutes,0:05:00
,,,
Foundations Of Network Computing,The TCP/IP Five-Layer Network Model,5 minutes,0:05:00
Foundations Of Network Computing,Why Networking,1 minutes,0:01:00
Foundations Of Network Computing,Cables,4 minutes,0:04:00
Foundations Of Network Computing,Hubs and Switches,2 minutes,0:02:00
Foundations Of Network Computing,Routers,2 minutes,0:02:00
Foundations Of Network Computing,Servers and Clients,2 minutes,0:02:00
Foundations Of Network Computing,Being A Network Engineer,1 minutes,0:01:00
Foundations Of Network Computing,Cabling and Duplexing,1 minutes,0:01:00
Foundations Of Network Computing,Network Ports and Patch Panels,2 minutes,0:02:00
Foundations Of Network Computing,Ethernet and MAC Addresses,5 minutes,0:05:00
Foundations Of Network Computing,"Unicast, Multicast, and Broadcast",1 minutes,0:01:00
Foundations Of Network Computing,Dissecting an Ethernet Frame,5 minutes,0:05:00
Foundations Of Network Computing,Network Layer,1 minutes,0:01:00
Foundations Of Network Computing,IP Addresses,2 minutes,0:02:00
Foundations Of Network Computing,IP Datagrams and Encapsulation,5 minutes,0:05:00
Foundations Of Network Computing,IP Address Classes,3 minutes,0:03:00
Foundations Of Network Computing,Address Resolution Protocol,2 minutes,0:02:00
Foundations Of Network Computing,Subnetting,2 minutes,0:02:00
Foundations Of Network Computing,Subnet Masks,7 minutes,0:07:00
Foundations Of Network Computing,Basic Binary Math,7 minutes,0:07:00
Foundations Of Network Computing,Classless Inter-Domain Routing (CIDR),5 minutes,0:05:00
Foundations Of Network Computing,Basic Routing Concepts,8 minutes,0:08:00
Foundations Of Network Computing,Routing Tables,3 minutes,0:03:00
Foundations Of Network Computing,Interior Gateway Protocols,5 minutes,0:05:00
Foundations Of Network Computing,Exterior Gateway Protocols,3 minutes,0:03:00
Foundations Of Network Computing,Non-Routable Address Space,3 minutes,0:03:00
Foundations Of Network Computing,Transport Layer,3 minutes,0:03:00
Foundations Of Network Computing,Dissection of a TCP Segment,5 minutes,0:05:00
Foundations Of Network Computing,TCP Control Flags and the Three-way Handshake,5 minutes,0:05:00
Foundations Of Network Computing,TCP Socket States,3 minutes,0:03:00
Foundations Of Network Computing,Connection-oriented and Connectionless Protocols,4 minutes,0:04:00
Foundations Of Network Computing,Firewalls,2 minutes,0:02:00
Foundations Of Network Computing,The Application Layer,3 minutes,0:03:00
Foundations Of Network Computing,The Application Layer and the OSI Model,2 minutes,0:02:00
Foundations Of Network Computing,All the Layers Working in Unison,11 minutes,0:11:00
Foundations Of Network Computing,Why do we need DNS?,4 minutes,0:04:00
Foundations Of Network Computing,The Many Steps of Name Resolution,8 minutes,0:08:00
Foundations Of Network Computing,DNS and UDP,5 minutes,0:05:00
Foundations Of Network Computing,Resource Record Types,8 minutes,0:08:00
Foundations Of Network Computing,Anatomy of a Domain Name,3 minutes,0:03:00
Foundations Of Network Computing,DNS Zones,4 minutes,0:04:00
Foundations Of Network Computing,Overview of DHCP,4 minutes,0:04:00
Foundations Of Network Computing,DHCP in Action,5 minutes,0:05:00
Foundations Of Network Computing,Basics of NAT,4 minutes,0:04:00
Foundations Of Network Computing,NAT and the Transport Layer,4 minutes,0:04:00
Foundations Of Network Computing,"NAT, Non-Routable Address Space and the Limits of IPv4",3 minutes,0:03:00
Foundations Of Network Computing,Virtual Private Networks,4 minutes,0:04:00
Foundations Of Network Computing,Proxy Services,4 minutes,0:04:00
,,,
System Administration,What is Systems Administration?,2 minutes,0:02:00
System Administration,Understaning Servers,4 minutes,0:04:00
System Administration,Understanding Cloud,4 minutes,0:04:00
System Administration,Organizational Policies,2 minutes,0:02:00
System Administration,IT Infrastructure Services,1 minutes,0:01:00
System Administration,User and Hardware Provisioning,4 minutes,0:04:00
System Administration,Routine Maintenance,1 minutes,0:01:00
System Administration,Vendors,1 minutes,0:01:00
System Administration,Troubleshooting and Managing Issues,3 minutes,0:03:00
System Administration,Assessing Risk,2 minutes,0:02:00
System Administration,The Role of IT Infrastructure Services in SysAdmin,1 minutes,0:01:00
System Administration,Types of IT Infrastructure Services,6 minutes,0:06:00
System Administration,Server Operating Systems,1 minutes,0:01:00
System Administration,Virtualization,2 minutes,0:02:00
System Administration,Remote Access Revisited,3 minutes,0:03:00
System Administration,"File Transfer Protocol (FTP), Secure File Transfer Protocol (SFTP), and Trivial File Transfer Protocol (TFTP)",3 minutes,0:03:00
System Administration,Network Time Protocol (NTP),2 minutes,0:02:00
System Administration,Domain Name System (DNS),1 minutes,0:01:00
