COURSE CURRICULUM,MODULES,AVERAGE DURATION,DURATION IN MINS,LINKS
Fundamentals Of IT Support,Program Introduction,5 minutes,0:05:00,
,What Does IT Mean?,4 minutes,0:04:00,
,What Is The Role Of An IT Support Specialist?,2 minutes,0:02:00,
,A Breif History Of Computers,11 minutes,0:11:00,
,How Modern Computing Is Building The World,6 minutes,0:06:00,
,Introduction To Computer Language,3 minutes,0:03:00,
,Character Encoding,3 minutes,0:03:00,
,How to Count in Binary,3 minutes,0:03:00,
,Abstraction,2 minutes,0:02:00,
,Computer Architecture Overview ,3 minutes,0:03:00,
,Introduction to Computer Hardware,4 minutes,0:04:00,
,CPU,4 minutes,0:04:00,
,RAM,3 minutes,0:03:00,
,Motherboards,3 minutes,0:03:00,
,Storage,4 minutes,0:04:00,
,Power Supplies,4 minutes,0:04:00,
,Peripherals,4 minutes,0:04:00,
,Putting It All Together,21 minutes,0:21:00,
,Components of an Operating System,6 minutes,0:06:00,
,Files and File Systems,3 minutes,0:03:00,
,Process Management,2 minutes,0:02:00,
,Memory Management,2 minutes,0:02:00,
,I/O Management,2 minutes,0:02:00,
,Interacting with the OS,3 minutes,0:03:00,
,Logs,2 minutes,0:02:00,
,The Boot Process,2 minutes,0:02:00,
,Choosing an Operating System,3 minutes,0:03:00,
,Virtual Machines,2 minutes,0:05:00,
,Installing Windows,5 minutes,0:05:00,
,Installing Linux,5 minutes,0:03:00,
,What is Chrome OS?,3 minutes,0:03:00,
,Installing Mac OS X,3 minutes,0:03:00,
,Understanding Basics of Networking,7 minutes,0:07:00,
,Networking Hardware,3 minutes,0:03:00,
,Language of the Internet,2 minutes,0:02:00,
,The World Wide Web,3 minutes,0:03:00,
,History of the Internet,5 minutes,0:05:00,
,Limitations of the Internet,3 minutes,0:03:00,
,Internet of Things,2 minutes,0:02:00,
,Privacy and Security,3 minutes,0:03:00,
IT Support Communication,Introduction To Effective Communication Strategies,8 minutes,0:08:00,
,Who do Support Agents Communicate With?,3 minutes,0:03:00,
,Interpret the Customer's Message,3 minutes,0:03:00,
,Communicating at the Customer's Level of Expertise,4 minutes,0:04:00,
,Using ACCRUE Vocabulary when Responding to Messages,5 minutes,0:05:00,
,Challenging Customer Types,3 minutes,0:03:00,
,Satisfying a Challenging Customer,3 minutes,0:03:00,
,Develop A Rapport With Your Customers,5 minutes,0:05:00,
,Interpret And Paraphrase The Customer’s Message,5 minutes,0:05:00,
,Demonstrate Empathy Towards Your Customer,3 minutes,0:03:00,
,Defusing Anger,3 minutes,0:03:00,
,Differentiate between implicit vs. explicit customer messages,4 minutes,0:04:00,
,"Understand How To Respond Effectively Through Phone, Email, Chat, And Social Media",5 minutes,0:05:00,
Foundations Of Network Computing,The TCP/IP Five-Layer Network Model,5 minutes,0:05:00,
,Why Networking,1 minutes,0:01:00,
,Cables,4 minutes,0:04:00,
,Hubs and Switches,2 minutes,0:02:00,
,Routers,2 minutes,0:02:00,
,Servers and Clients,2 minutes,0:02:00,
,Being A Network Engineer,1 minutes,0:01:00,
,Cabling and Duplexing,1 minutes,0:01:00,
,Network Ports and Patch Panels,2 minutes,0:02:00,
,Ethernet and MAC Addresses,5 minutes,0:05:00,
,"Unicast, Multicast, and Broadcast",1 minutes,0:01:00,
,Dissecting an Ethernet Frame,5 minutes,0:05:00,
,Network Layer,1 minutes,0:01:00,
,IP Addresses,2 minutes,0:02:00,
,IP Datagrams and Encapsulation,5 minutes,0:05:00,
,IP Address Classes,3 minutes,0:03:00,
,Address Resolution Protocol,2 minutes,0:02:00,
,Subnetting,2 minutes,0:02:00,
,Subnet Masks,7 minutes,0:07:00,
,Basic Binary Math,7 minutes,0:07:00,
,Classless Inter-Domain Routing (CIDR),5 minutes,0:05:00,
